Name,CodeName,Category,Count,Weight
TE FUNDAMENTALS COURSE AUTHOR LAUNCH 2022,FUND_AUTHOR, POE,4.0,26.939963782332853
Token Engineering @EthCC Paris 2023 - Speaker,SPEAKER_ETHCC_PARIS23,POE,7.0,22.33955592070777
STUDY_SEASON_SPEAKER,STUDY_SEASON_SPEAKER,POE,8.0,22.19892017362673
FELLOWSHIP_COMM,FELLOWSHIP_COMM,POE,10.0,21.634673825841407
Token Engineering Barcamp - Speaker - Paris 2023,SPEAKER_BARCAMP_PARIS_23,POE,12.0,13.942469306282153
"TE Fundamentals ""We made it""",FUND_WE_MADE_IT,POC,20.0,12.880718410896346
LIVE_TRACK_8,LIVE_TRACK_8,POK,30.0,13.544816072584002
LIVE_TRACK_7,LIVE_TRACK_7,POK,30.0,11.394144833117386
LIVE_TRACK_6,LIVE_TRACK_6,POK,30.0,13.095097667035741
LIVE_TRACK_5,LIVE_TRACK_5,POK,30.0,12.536497162058712
LIVE_TRACK_4,LIVE_TRACK_4,POK,30.0,14.891556109134818
LIVE_TRACK_3,LIVE_TRACK_3,POK,30.0,12.776607157256706
LIVE_TRACK_1,LIVE_TRACK_1,POK,30.0,12.777439928619291
TE360 STUDY GROUP HOST 2022,STUDY_GROUP_HOST_360_22,POC,0.0,13.194827002148674
TE FUNDAMENTALS STUDY GROUP HOST C2 2022/2023,STUDY_GROUP_HOST_C2_22_23,POC,1.0,13.99394255365058
TE FUNDAMENTALS STUDY GROUP HOST 2022/2023,STUDY_GROUP_HOST_FUND_22_23,POC,21.0,13.691464331303738
Set TEF ALL,FUND_ALL,F,,11.75431307962202
TE FUNDAMENTALS 5,FUND_MOD_5,POK,129.0,4.915001447099102
TE FUNDAMENTALS 4,FUND_MOD_4,POK,127.0,3.9370904080716596
TE FUNDAMENTALS 3,FUND_MOD_3,POK,168.0,3.9484261407044516
TE FUNDAMENTALS 2,FUND_MOD_2,POK,249.0,5.968030070293928
TE FUNDAMENTALS 1,FUND_MOD_1,POK,332.0,6.28955466235069
Token Engineering Barcamp - Paris 2023,BARCAMP_PARIS_23,POA,23.0,3.5393782829624323
Set TEF 3&4,FUND_MOD_3_AND_4,F,,4.4629120263707565
NFT-based Reputation in Web3,NFTREP_V1,POK,57.0,2.0668148478903063
STUDY_SEASON_REGISTRATION,STUDY_SEASON_REGISTRATION,POA,250.0,0.7175613626875891
Token Engineering Barcamp - Team - Paris 2023,TEAM_BARCAMP_PARIS_23,POC,11.0,0.7160868949116509
ETHCC Attendance in 2023,ETHCC_23, POA,20.0,0.713774012420459
