Name,CodeName,Category,Count,Weight
TE FUNDAMENTALS COURSE AUTHOR LAUNCH 2022,FUND_AUTHOR, POE,4.0,17.57597816382432
Token Engineering @EthCC Paris 2023 - Speaker,SPEAKER_ETHCC_PARIS23,POE,7.0,8.395793708073883
STUDY_SEASON_SPEAKER,STUDY_SEASON_SPEAKER,POE,8.0,9.627405353437684
FELLOWSHIP_COMM,FELLOWSHIP_COMM,POE,10.0,8.779327961562931
Token Engineering Barcamp - Speaker - Paris 2023,SPEAKER_BARCAMP_PARIS_23,POE,12.0,8.528460392548993
"TE Fundamentals ""We made it""",FUND_WE_MADE_IT,POC,20.0,7.765566881027136
LIVE_TRACK_8,LIVE_TRACK_8,POK,30.0,8.123207467858746
LIVE_TRACK_7,LIVE_TRACK_7,POK,30.0,6.0339608238633655
LIVE_TRACK_6,LIVE_TRACK_6,POK,30.0,7.137221809578695
LIVE_TRACK_5,LIVE_TRACK_5,POK,30.0,9.031920837990146
LIVE_TRACK_4,LIVE_TRACK_4,POK,30.0,7.294178033679524
LIVE_TRACK_3,LIVE_TRACK_3,POK,30.0,8.852940756193245
LIVE_TRACK_1,LIVE_TRACK_1,POK,30.0,8.139391029720782
TE360 STUDY GROUP HOST 2022,STUDY_GROUP_HOST_360_22,POC,0.0,8.591676427599271
TE FUNDAMENTALS STUDY GROUP HOST C2 2022/2023,STUDY_GROUP_HOST_C2_22_23,POC,1.0,8.329965859687762
TE FUNDAMENTALS STUDY GROUP HOST 2022/2023,STUDY_GROUP_HOST_FUND_22_23,POC,21.0,8.193720587753743
Set TEF ALL,FUND_ALL,F,,7.355559564189929
TE FUNDAMENTALS 5,FUND_MOD_5,POK,129.0,8.636784328511022
TE FUNDAMENTALS 4,FUND_MOD_4,POK,127.0,9.263409222366608
TE FUNDAMENTALS 3,FUND_MOD_3,POK,168.0,8.744841739808479
TE FUNDAMENTALS 2,FUND_MOD_2,POK,249.0,7.8072057109012425
TE FUNDAMENTALS 1,FUND_MOD_1,POK,332.0,8.304612432785818
Token Engineering Barcamp - Paris 2023,BARCAMP_PARIS_23,POA,23.0,6.933573267919524
Set TEF 3&4,FUND_MOD_3_AND_4,F,,6.948426581626974
NFT-based Reputation in Web3,NFTREP_V1,POK,57.0,3.341528684782472
STUDY_SEASON_REGISTRATION,STUDY_SEASON_REGISTRATION,POA,250.0,1.2029085787615714
Token Engineering Barcamp - Team - Paris 2023,TEAM_BARCAMP_PARIS_23,POC,11.0,1.466590681808792
ETHCC Attendance in 2023,ETHCC_23, POA,20.0,1.3813385337868165
